country,pop_2013,pop_var,prot_ani_ratio,prot_g_cap_day,food_kcal_cap_day
Republic of Korea,49.263,102.9142642266232,47.99209321681233,96.11999999999998,3333.0
Kuwait,3.369,124.68541820873429,49.53305594082293,108.14999999999998,3499.0
Latvia,2.05,95.88400374181477,55.791548062185235,91.33999999999999,3172.0
Lao People's Democratic Republic,6.77,110.27854699462452,21.164174771374654,68.89000000000001,2455.0
Lebanon,4.822,115.19350215002389,36.83879884407589,79.59,3059.0
Lesotho,2.074,105.17241379310344,17.392487751769195,73.47999999999999,2528.0
Liberia,4.294,116.90716035937925,21.614445034519385,37.66000000000001,2206.0
Lithuania,3.017,95.99109131403118,61.50691540688326,124.35999999999999,3414.0
"China, Macao SAR",0.566,111.41732283464565,64.48548812664907,94.75,2915.0
Madagascar,22.925,115.0449139358659,21.482116084814734,46.68999999999999,2056.0
Malawi,16.363,115.73772810864338,12.07190454052379,64.53,2364.0
Malaysia,29.717,108.84550582374916,55.657717298026235,81.57,2914.0
Maldives,0.345,109.87261146496814,70.282864617397,122.32,2733.0
Mali,15.302,116.4713046125742,27.82802772230706,85.13000000000001,2887.0
Malta,0.429,101.90023752969122,55.96954038618439,110.31,3374.0
Mauritania,3.89,113.64300321355536,39.875206027784316,84.94,2875.0
Mauritius,1.244,101.7170891251022,45.124716553287975,88.2,3067.0
Mexico,122.332,106.4052605942523,46.42612468600137,87.57999999999998,3068.0
Mongolia,2.839,107.82377516141284,60.04950495049505,80.80000000000001,2509.0
Morocco,33.008,106.63220804393477,27.217000408663672,97.88,3402.0
Mozambique,25.834,113.49119184641742,13.879159369527141,45.680000000000014,2282.0
Republic of Moldova,3.487,95.87572174869398,49.38340807174889,71.35999999999999,2715.0
Namibia,2.303,109.09521553765987,33.935080715153624,57.60999999999999,2166.0
Nepal,27.797,105.89736751876262,16.596608204087552,68.99000000000002,2672.0
Netherlands,16.759,101.54507998061075,67.97057240265568,111.46000000000001,3222.0
New Caledonia,0.256,107.11297071129708,60.39718277335181,86.61000000000003,2855.0
North Macedonia,2.107,100.38113387327299,41.15095061885925,78.37,2946.0
Vanuatu,0.253,112.44444444444443,41.94288994116803,69.69000000000003,2833.0
New Zealand,4.506,105.3295932678822,59.31377854746185,92.39,3136.0
Nicaragua,6.08,107.26887791107976,30.500431406384816,69.53999999999998,2638.0
Niger,17.831,120.98656534129462,18.18855801309774,80.92999999999996,2549.0
Nigeria,173.615,114.81866038833925,15.46181590089384,63.76999999999999,2700.0
Norway,5.043,105.54625366262036,59.577350311568686,110.73000000000002,3483.0
Pakistan,182.143,109.06244012262884,41.665393430099314,65.44999999999999,2438.0
Panama,3.864,108.75316633830565,52.49621785173978,79.32000000000001,2731.0
Czechia,10.702,102.78524779101036,57.76226976318499,87.41000000000004,3255.0
Paraguay,6.802,109.07633098139833,48.413148200623404,70.58,2584.0
Peru,30.376,106.11332355201566,36.09183128670582,74.91999999999999,2697.0
Philippines,98.394,108.8778479822067,41.47888499415791,59.90999999999999,2568.0
Poland,38.217,100.07069913589946,52.51330573625075,101.46000000000002,3450.0
Portugal,10.608,100.35950804162725,60.69270316586996,110.87,3472.0
Guinea-Bissau,1.704,112.32696110744891,20.204313280363223,44.05,2288.0
Timor-Leste,1.133,107.9047619047619,30.846809250565123,57.51000000000001,2129.0
Zimbabwe,14.15,110.68523153942427,24.337748344370862,48.319999999999986,2113.0
Romania,21.699,98.78898247211474,45.83495145631068,103.00000000000001,3359.0
Rwanda,11.777,115.20101731390002,9.8256735340729,56.78999999999999,2224.0
Russian Federation,142.834,99.41326725919947,54.64448983561911,102.81000000000003,3360.0
Saint Kitts and Nevis,0.054,105.88235294117648,63.02544247787611,72.32000000000001,2491.0
Saint Lucia,0.182,105.20231213872833,59.062281315605325,85.74,2589.0
Saint Vincent and the Grenadines,0.109,100.0,54.45693752173408,86.26999999999998,2965.0
Sao Tome and Principe,0.193,114.88095238095238,29.943502824858754,53.1,2398.0
Saudi Arabia,28.829,109.34157627247212,43.58554427339229,91.59000000000002,3255.0
Senegal,14.133,115.47512051638205,26.148834019204386,58.31999999999999,2453.0
Sierra Leone,6.092,110.12292118582789,26.483692746391018,56.11,2401.0
Slovenia,2.072,101.96850393700787,53.957508852322434,96.02000000000001,3168.0
Slovakia,5.45,100.64635272391504,48.4676189155457,72.11,2943.0
South Africa,52.776,104.99134621123203,42.646197117074884,85.32999999999998,3020.0
Spain,46.927,103.72212275932189,62.18022145857197,104.75999999999999,3173.0
Suriname,0.539,104.6601941747573,45.179764556156535,62.85999999999999,2752.0
Tajikistan,8.208,112.82474226804125,33.55948248658883,63.37999999999998,2199.0
Eswatini,1.25,108.31889081455807,30.03925584570746,58.58999999999998,2326.0
Sweden,9.571,103.63833243096914,65.88202456270933,107.47999999999999,3180.0
Switzerland,8.078,105.5533777603554,64.33415868231242,92.88999999999999,3393.0
Turkmenistan,5.24,106.54737698251321,41.93370165745856,90.49999999999999,2836.0
"China, Taiwan Province of",23.33,101.39069969578442,48.45648055276942,89.72999999999998,2998.0
United Republic of Tanzania,49.253,116.28889833309724,17.624653739612185,57.76,2204.0
Thailand,67.011,101.24801692226335,40.870994248151185,60.85,2785.0
Togo,6.817,113.86337063637882,15.12717536813922,59.76000000000002,2448.0
Trinidad and Tobago,1.341,101.89969604863221,51.7220688827553,83.33,3049.0
Oman,3.632,140.01542020046261,51.80818501303707,88.20999999999998,3140.0
Tunisia,10.997,105.83196997401598,28.81510813280536,98.49000000000001,3349.0
Turkey,74.933,106.49337729520778,33.573806881243065,108.11999999999996,3708.0
United Arab Emirates,9.346,137.46139138108543,39.90048799157976,104.50999999999999,3275.0
Uganda,37.579,118.25104628842946,23.518237082066857,52.63999999999999,2126.0
United Kingdom,63.384,102.94122423789649,56.496024820632144,103.13999999999999,3425.0
Ukraine,45.239,97.36983706764813,48.6855466546316,88.63000000000001,3138.0
United States of America,320.051,104.36774637461399,63.763480168159404,109.42000000000002,3682.0
Burkina Faso,16.935,115.51841746248294,13.95993448406199,79.37000000000002,2717.0
Uruguay,3.407,101.73186025679306,58.475035199826706,92.33,3052.0
Uzbekistan,28.934,107.0717536913,34.995803860448376,83.41,2759.0
Venezuela (Bolivarian Republic of),30.405,108.12588904694167,52.26151315789473,72.96000000000002,2633.0
Viet Nam,91.68,104.93424441163341,38.04680798921701,81.61,2744.0
Ethiopia,94.101,113.89477251546218,12.733896340453715,60.389999999999986,2129.0
Samoa,0.19,103.82513661202186,62.72652870337894,85.53000000000002,2956.0
Yemen,24.407,112.4539255436786,23.514431239388788,58.89999999999999,2217.0
Zambia,14.539,116.71349442080756,16.71495834842449,55.220000000000006,1924.0
Belgium,11.104,103.07249605495218,58.508604206500955,99.37000000000003,3737.0
Luxembourg,0.53,108.82956878850104,63.463569165786694,113.64,3540.0
Serbia,9.511,97.43878700952772,48.5707334874103,82.21000000000001,2725.0
Montenegro,0.621,100.32310177705976,56.398570151921355,111.90000000000003,3490.0
