country,pop_2013,pop_var,gdp_2013,edb_2019,food_kcal_cap_day,prot_g_cap_day,prot_ani_ratio,poultry_food_kg_cap_y,poultry_import_ratio,clust
Armenia,2.977,100.0,3843.590751,75.37,2924.0,90.05999999999997,48.012436153675324,13.436345314074572,80.0,2
Albania,3.173,100.5068102629078,4376.9705490000015,69.51,3188.0,111.37,53.34470683307892,13.23668452568547,59.523809523809526,2
Argentina,41.446000000000005,104.46113519508013,14417.421454,58.8,3226.0,102.6,65.23391812865496,38.65270472421947,0.24968789013732834,2
Barbados,0.285,102.51798561151077,15755.427261,56.78,2936.0,88.76000000000003,56.917530419107706,42.10526315789474,6.666666666666668,2
Brazil,200.362,104.4825464368032,12216.965936,60.01,3262.0,95.00999999999998,55.352068203347024,44.99855261975824,0.033274179236912164,2
Bulgaria,7.223,96.25533049040511,7673.951742,71.24,2828.0,83.41000000000003,49.5144467090277,20.62854769486363,56.95364238410596,2
Chile,17.62,104.68777850395105,15941.397939,71.81,2980.0,87.32000000000004,51.832340815391674,36.49262202043133,12.597200622083983,2
Colombia,48.321000000000005,107.01614510663744,8030.585914,69.24,2800.0,64.30999999999999,52.06033276317835,27.565654684298753,4.354354354354354,2
Costa Rica,4.872,107.47849106551952,10569.665626,68.89,2846.0,75.04999999999998,54.61692205196535,24.42528735632184,6.722689075630252,2
Cyprus,1.141,105.94243268337978,27944.122813,71.71,2646.0,77.53999999999998,58.09904565385608,24.539877300613494,38.23529411764706,2
Belarus,9.357000000000001,97.91753871912935,7967.962369,75.77,3249.0,93.78,58.59458306675197,31.313455167254464,5.460750853242321,2
Estonia,1.287,98.39449541284401,19020.841095,80.5,3248.0,103.65000000000002,51.35552339604437,20.97902097902098,74.07407407407408,2
Georgia,4.341,98.36845683208702,3989.345341,83.28,2902.0,80.5,35.80124223602484,12.209168394379175,81.13207547169812,2
Bosnia and Herzegovina,3.8289999999999997,99.17119917119919,5042.748881,63.82,3156.0,91.5,33.22404371584701,13.058239749281794,27.450980392156865,2
Greece,11.128,100.40602724893981,21186.790509,68.08,3394.0,108.64999999999996,54.514496088357106,15.726096333572967,39.45945945945946,2
Hungary,9.955,99.0941668325702,13739.063946,72.28,3034.0,78.75000000000004,53.48571428571428,23.80713209442491,21.70542635658915,2
Croatia,4.29,98.39449541284401,13578.48546,71.4,3056.0,84.27000000000002,56.92417230331078,8.624708624708624,48.64864864864865,2
Kazakhstan,16.441,105.60765673175743,13752.023575,77.89,3262.0,96.34999999999997,59.23196678775299,18.36871236542789,56.25,2
Jamaica,2.784,102.39058477381391,5005.595035,67.47,2742.0,76.93,48.23865852073314,52.44252873563219,29.45205479452055,2
Japan,127.14399999999999,99.86254997290271,40180.809978,75.65,2726.0,87.65000000000002,55.27666856816885,19.418926571446548,42.13886671987231,2
Republic of Korea,49.263000000000005,102.91426422662322,26024.012111,84.14,3333.0,96.11999999999998,47.99209321681232,15.995777764244973,16.624365482233504,2
Latvia,2.05,95.88400374181477,14852.354556,79.59,3172.0,91.34,55.79154806218524,20.48780487804878,69.04761904761905,2
Lithuania,3.017,95.99109131403118,15483.230059,80.83,3414.0,124.36,61.50691540688326,26.847862114683466,40.74074074074074,2
Malaysia,29.717,108.84550582374916,10882.259575,80.6,2914.0,81.57,55.657717298026235,41.02029141568799,3.1821259309410967,2
Malta,0.429,101.90023752969122,23972.962882,65.43,3374.0,110.31,55.969540386184384,25.64102564102564,69.23076923076923,2
Mauritius,1.244,101.71708912510219,9662.833893,79.58,3067.0,88.2,45.124716553287975,38.585209003215425,4.081632653061225,2
Mexico,122.33200000000001,106.4052605942523,10400.569944,72.09,3068.0,87.57999999999998,46.426124686001366,30.122944119281954,23.039348710990506,2
Republic of Moldova,3.487,95.87572174869398,1961.072076,73.54,2715.0,71.35999999999999,49.38340807174889,18.06710639518211,30.158730158730158,2
Panama,3.864,108.75316633830565,11685.979826,66.12,2731.0,79.32000000000002,52.49621785173978,30.797101449275363,9.433962264150944,2
Czechia,10.702,102.78524779101036,19765.238618,76.1,3255.0,87.41000000000004,57.762269763184996,19.06185759671089,49.50980392156863,2
Poland,38.217,100.07069913589945,13684.131318000002,76.95,3450.0,101.46000000000002,52.51330573625075,27.42235130962661,4.545454545454546,2
Portugal,10.607999999999999,100.35950804162724,21474.211015,76.55,3472.0,110.87,60.69270316586996,30.165912518853695,19.452887537993924,2
Romania,21.699,98.78898247211474,9544.854848,72.3,3359.0,103.0,45.834951456310684,15.392414396976822,26.946107784431142,2
Russian Federation,142.834,99.41326725919949,15533.899955,77.37,3360.0,102.81000000000004,54.644489835619105,27.500455073721948,13.393985342431133,2
Saudi Arabia,28.829,109.34157627247214,24934.386142,63.5,3255.0,91.59000000000002,43.58554427339229,49.04783377848694,62.16407355021217,2
Slovenia,2.072,101.96850393700787,23288.231184,75.61,3168.0,96.02,53.95750885232243,23.64864864864865,34.0,2
Slovakia,5.45,100.64635272391504,18152.256133000006,75.17,2943.0,72.11,48.4676189155457,15.045871559633028,69.76744186046511,2
South Africa,52.776,104.99134621123206,6818.736993,66.03,3020.0,85.32999999999998,42.646197117074884,37.57389722601182,17.95259707513868,2
Spain,46.927,103.72212275932188,29163.288417000003,77.68,3173.0,104.76,62.18022145857197,28.618918746137613,12.582781456953645,2
Thailand,67.01100000000001,101.24801692226336,6171.263886,78.45,2785.0,60.85,40.870994248151185,13.684320484696544,1.164021164021164,2
Trinidad and Tobago,1.341,101.89969604863221,19613.867976,60.81,3049.0,83.33,51.7220688827553,58.165548098434,27.472527472527474,2
Ukraine,45.239,97.36983706764812,4063.104441,68.25,3138.0,88.63000000000002,48.68554665463161,24.226883883374963,6.733393994540491,2
Uruguay,3.407,101.73186025679306,16881.202977,62.6,3052.0,92.33,58.475035199826706,27.59025535661873,4.040404040404041,2
Serbia,9.511000000000001,97.43878700952772,6351.678982,73.49,2725.0,82.21000000000002,48.570733487410294,10.619282935548313,11.881188118811881,2
Montenegro,0.621,100.32310177705976,7119.349101999999,72.73,3490.0,111.90000000000003,56.398570151921355,16.10305958132045,70.0,2
