country,pop_2013,pop_var,gdp_2013,edb_2019,food_kcal_cap_day,prot_g_cap_day,prot_ani_ratio,poultry_food_kg_cap_y,poultry_import_ratio,clust
Australia,23.343000000000004,107.84476784476784,66301.306788,80.13,3278.0,106.26,67.46659137963485,46.13802853103714,1.5784586815227482,1
Austria,8.495,101.83409254375448,50137.519579,78.57,3770.0,106.20000000000002,59.19020715630885,18.599175985874048,62.1301775147929,1
Brunei Darussalam,0.418,107.7319587628866,44598.075686,72.03,2985.0,93.29,56.76921427805768,62.20095693779904,7.6923076923076925,1
Canada,35.181999999999995,105.43002697033266,52264.959967,79.26,3499.0,105.06000000000004,52.06548638873026,36.66647717582855,17.519379844961247,1
Denmark,5.619,102.23799126637554,60942.805627,84.64,3366.0,108.74000000000004,64.19900680522346,26.695141484249863,66.88741721854305,1
Finland,5.426,102.0308386611508,49659.588178,80.35,3366.0,117.56000000000004,62.12146988771689,19.904165130851453,14.035087719298243,1
France,64.291,102.77844387959009,42493.606628,77.29,3482.0,110.5,62.75113122171947,22.927003779689226,27.360931435963767,1
Germany,82.727,99.21683857040058,46176.177749,78.9,3503.0,101.39,60.64700660814678,17.757201397367247,50.22307202039514,1
Iceland,0.33,106.79611650485435,47544.160857,79.35,3381.0,133.06,72.50864271757102,27.272727272727273,11.111111111111109,1
Ireland,4.627,106.31893382352942,51130.077752,78.91,3602.0,109.91,58.97552542989718,26.150853684893022,61.53846153846154,1
Israel,7.733,108.80821725059799,37397.81074,73.23,3610.0,128.0,56.60937500000002,62.45958877537824,0.0,1
Italy,60.99,101.86391421986171,35705.759697,72.56,3578.0,108.48999999999997,53.67314959904139,18.609608132480734,7.5586446568201575,1
New Zealand,4.506,105.32959326788219,42232.040825,86.59,3136.0,92.39,59.31377854746185,35.06435863293387,0.6329113924050633,1
Norway,5.043,105.54625366262036,103110.441896,82.95,3483.0,110.73000000000002,59.577350311568686,21.019234582589732,1.8867924528301887,1
Sweden,9.571,103.63833243096914,60190.02959500001,81.27,3180.0,107.48,65.88202456270933,16.612684150036568,41.01123595505618,1
Switzerland,8.078,105.55337776035542,84659.015403,75.69,3393.0,92.89,64.33415868231242,16.340678385739047,42.42424242424242,1
United Kingdom,63.38399999999999,102.94122423789648,42385.080963,82.65,3425.0,103.14,56.496024820632144,31.553704404897136,38.83309421329507,1
United States of America,320.051,104.36774637461399,52898.817379,82.75,3682.0,109.42000000000002,63.76348016815941,50.01077953201209,0.6273291925465839,1
Luxembourg,0.53,108.82956878850105,113341.237463,69.01,3540.0,113.64,63.46356916578669,20.754716981132077,90.9090909090909,1
